contact_id,municipality_id,entity_type,name,title,role_normalized,role_family,department,department_normalized,email,email_type,phone,phone_ext,address,hours,page_type,source_url,display_confidence,is_likely_noise,rn
ctc_fcab58ab5440247e94e7,ct_ashford,role,,Lynn Jones (CCMA) Assessor Email Assessor Phone: 860-487-4403,Assessor,assessor,Lynn Jones (CCMA) Assessor Email Assessor Phone,Assessor,assessor@ashfordct.gov,role_based,8604874403,,"5 Town Hall Road Ashford, CT 06278 5 Town Hall Road Ashford CT 06278 Directions Phone: 860-487-","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search About Us Government Services Community How Do I... Home Government Departments Assessor’s Office Assessor’s Office There are no alerts at this time. 2025 Revaluation - Click link on the left for updates The primary responsibility of the Assessor's office is to discover, list, and value all property in its jurisdiction. The Grand List is generated each year as of October 1 and records all taxable and tax - exempt property. The net taxable Grand List property includes real estate, motor vehicles, personal property owned by businesses, and certain personal property owned by residents (such as unregistered motor vehicles). All property is assessed at 70% of its October 1 value. Motor vehicles and personal property are assessed at 70% of market value annually. Real Estate is revalued every five years as the Connecticut State Statute requires. The Assessor's office also administers property tax exemptions and tax relief programs. Current MILL Rate: Grand List 2024 MILL Rate - Real Estate, Personal Property - 36.377; Motor Vehicles - 32.46 Contact Us Lynn Jones (CCMA) Assessor Email Assessor Phone: 860 - 487 - 4403 Assessor’s Office Physical Address View Map 5 Town Hall Road Ashford, CT 06278 5 Town Hall Road Ashford CT 06278 Directions Phone: 860 - 487 - 4403 Office Hours Monday, Tuesday, and Friday 8:30 a.m. to 3 p.m. Wednesday 10 a.m. to 6 p.m. Thursdays closed Directory 2025 Revaluation Property Record Cards GIS Mapping Assessment Appeals Motor Vehicles PA490 Farm, Forest, Open Space Personal Property Declarations & Forms Veterans Exemptions Homeowners Program Real Estate Sales Exemptions & Abatements Defective Concrete & Crumbling Foundations MAPS Mill Rates Agendas & Minutes Applications & Forms Documents & Codes Contact Us View or Pay Taxes Contact Ashford Town Office Building 5 Town Hall Road Ashford, CT 06278 Phone: 860 - 487 - 4400 Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays Quick Links OnBoardGOV Property Record Cards PermitLink GIS Mapping /QuickLinks.aspx Helpful Links Accessibility Site Map Copyright Notices Contact Us Privacy Policy Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",department_page,https://ashfordtownhall.org/293/Assessors-Office,1.0,0,1
ctc_ec4f900b3e56a13093ea,ct_ashford,person,Land Use,Building Department,Building Official,building,Land Use Department Email Building Department Phone,Building,bdavis@ashfordct.gov,direct,8604874404,,"5 Town Hall Road Ashford, CT 06278 Phone: 860-487-4400 Hours: Monday, Tuesday, Friday: 8:30 am t","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search About Us Government Services Community How Do I... Home Government Departments Land Use Building Department Building Department The Building Department plays a key role in ensuring safety, functionality, and quality of construction within the area. It oversees the permitting process for new builds, renovations, and repairs to ensure compliance with local building codes and zoning laws. The department reviews and approves plans, conducts inspections, and provides guidance to property owners, contractors, and developers. Its goal is to help foster responsible growth while protecting public safety and community well - being. Concrete Reporting Requirement Effective October 1, 2016 Under Public Act 16 - 45, a building permit applicant with a project involving concrete foundations is required to provide the name of the concrete supplier and the name of the concrete installer prior to the issuance of a Certificate of Occupancy or Certificate of Completion. This is for all concrete foundations poured after October 1, 2016, and does not apply to site or hand - mixed concrete and not for minor items like residential deck piers, steps, or sidewalks. Contact Us Rich McKinnon Building Official Email Rich McKinnon Land Use Department Email Building Department Phone: 860 - 487 - 4404 Directory PermitLink Instructions to the Online Permit System (PermitLink) Permits, Worker’s Compensation 7A - 7B - 7C Demolition Checklist Swimming Pool Documents Helpful Permit Information Agendas & Minutes Applications & Forms Documents & Codes Contact Us View or Pay Taxes Contact Ashford Town Office Building 5 Town Hall Road Ashford, CT 06278 Phone: 860 - 487 - 4400 Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays Quick Links OnBoardGOV Property Record Cards PermitLink GIS Mapping /QuickLinks.aspx Helpful Links Accessibility Site Map Copyright Notices Contact Us Privacy Policy Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",department_page,https://ashfordtownhall.org/303/Building-Department,1.0,0,1
ctc_5b370ba9a02c58766917,ct_ashford,role,,Contact Us Board of Finance Email Ashford Board of Finance Directory,Finance Director,finance,Board of Finance Email Ashford Board of Finance Directory,Finance,bofashford@ashfordct.gov,direct,8604874400,,"5 Town Hall Road Ashford, CT 06278 Phone: 860-487-4400 Hours: Monday, Tuesday, Friday: 8:30 am t","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search About Us Government Services Community How Do I... Home Government Board & Commissions Board of Finance Board of Finance The Board of Finance consists of six elected members and three alternate members. Its primary function is to recommend a budget and a mill rate to the Annual Town Meeting. The Board of Finance also has the power to designate an external auditor and to approve supplemental appropriations upon the request of the Board of Selectmen or the Board of Education. Members Board of Finance Members Board of Finance Agendas and Minutes Calendar April 2026 Sun Mon Tue Wed Thu Fri Sat 29 30 31 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 1 2 Thu, Apr. 23 Board of Finance Meeting Thu, Apr. 30 Board of Finance Meeting View All Events /Calendar.aspx Contact Us Board of Finance Email Ashford Board of Finance Directory Annual Reports Budget Information Financial Statements Related Documents Agendas & Minutes Applications & Forms Documents & Codes Contact Us View or Pay Taxes Contact Ashford Town Office Building 5 Town Hall Road Ashford, CT 06278 Phone: 860 - 487 - 4400 Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays Quick Links OnBoardGOV Property Record Cards PermitLink GIS Mapping /QuickLinks.aspx Helpful Links Accessibility Site Map Copyright Notices Contact Us Privacy Policy Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",board_page,https://ashfordtownhall.org/262/Board-of-Finance,1.0,0,1
ctc_b4309661139fd049719d,ct_ashford,role,,First Selectman,First Selectman,chief_executive,,,,unknown,8604874400,,"5 Town Hall Road Ashford, CT 06278 Phone: 860-487-4400 Hours: Monday, Tuesday, Friday: 8:30 am t","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search About Us Government Services Community How Do I... Home Government Departments Departments 9 1 1 2 Assessor’s Office The primary responsibility of the Assessor’s office is to discover, list and value all property in its jurisdiction. Finance Department Explore more about the Finance Department and its staff members on this page. Housing Authority The Housing Authority was created by the Board of Selectmen at a Selectmen’s meeting held Ocotber 21, 1987. Appointments are made by the Selectmen for a period of five years each. Land Use Learn more about Land Use on this page. Parks & Recreation The Parks and Recreation Commission shall be composed of five regular members and three alternates, appointed by the Board of Selectmen, to five year terms. Probate Court Visit for more information about Probate Court on this page. Public Works All mailboxes should be securely fastened to a sturdy post which is sufficiently anchored in the ground to resist the impact of plowed snow. Information on proper installation is available at the Town Hall. Registrars of Voters The Registrars of Voters are responsible for conducting elections, primaries and special elections and maintaining accurate voter records. Other activities include canvassing and registering voters, and having special voting sessions. Selectmen The Town of Ashford is governed by a three member Board of Selectmen, comprised of one First Selectman and two Selectmen. Senior Center Senior Center Tax Collector The Tax Collector’s Office is responsible for collecting the municipal taxes on real estate, personal property, and motor vehicles in order to provide revenue for the programs deemed necessary and/or desirable to operate the Town. Town Clerk The office of the Town Clerk’s office is responsible for the maintenance and safekeeping of the records for the Town of Ashford. Housed in the fire - proof vault or in the office of the Town Clerk all land records. Transfer Station Learn more about Transfer Station on this Page. Youth & Social Services Learn more about Youth and Social Services on this Page. Assessor’s Office 2025 Revaluation Property Record Cards GIS Mapping Assessment Appeals Motor Vehicles PA490 Farm, Forest, Open Space Personal Property Declarations & Forms Veterans Exemptions Homeowners Program Real Estate Sales Exemptions & Abatements Defective Concrete & Crumbling Foundations MAPS Mill Rates Finance Department Annual Reports Annual Reports Budget Information 2025 - 2026 Budget Calendar Financial Statements - Audits Housing Authority Ashford Housing Authority Ashford Housing Applicant Information Pompey Hollow Senior Housing Land Use Building Department PermitLink Instructions to the Online Permit System (PermitLink) Permits, Worker’s Compensation 7A - 7B - 7C Demolition Checklist Swimming Pool Documents Helpful Permit Information Planning & Zoning Planning Documents Ashford Affordable Housing Plan Forms Zoning Regulations Subdivision Regulations Inlands Wetlands & Watercourses Agent Inland Wetlands Regulations Inland Wetlands Application Code - Ordinances - Regulations Parks & Recreation Ashford Memorial Park Summer Camps Pickleball Summer Concert Series Bus Trips Special Holiday Events Yoga Youth Sports - Basketball Pompey Hollow Park Registration Forms, Policy & Mission Statement Documents Mansfield - Ashford Little League Probate Court Public Works Policy on Snow Plow Damage and Mailbox Replacement Winter Salt & Sand for Resident Use Registrars of Voters Voter Registration Forms & Applications Register to Vote Election Day Voting Location Early Voting Current Election Selectmen Pistol Permit Facility Rentals Transfer Station Stickers Senior Center Municipal Agent for the Elderly Activities Bingo Lunch Bunch ASCO Tax Collector Options for Paying Taxes Legal Notices Tax Sales Motor Vehicle Information Messages and Information from the Tax Collector Tax Bills How to Pay Taxes Online IRS Tax Lookup Town Clerk Town Meetings Agendas and Minutes Legal Notices Fee Schedule Code - Town Ordinances Dog Licensing Elections Voter Registration Election Results Absentee Ballots Land Records Title Searches Recordings Fraud Alert Sporting Licenses Trade Names Vital Records Birth Marriage Death Veterans Discharge Papers Unlawful Restrictive Covenants Permits Peddlers Permit Burial/Cremation/Removal Permit Liquor Permit Contracts Notary Public Justice of the Peace Change of Name Transfer Station Stickers Swap Sheds Curbside Pick - Up Household Hazardous Waste Can I Recycle It? Single Stream Youth & Social Services Ashford Families First Playgroup Ashford Food Bank Energy Assistance Diaper Bank Back to School Supplies Farm to Families Ashford Resources Guide Agendas & Minutes Applications & Forms Documents & Codes Contact Us View or Pay Taxes Contact Ashford Town Office Building 5 Town Hall Road Ashford, CT 06278 Phone: 860 - 487 - 4400 Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays Quick Links OnBoardGOV Property Record Cards PermitLink GIS Mapping /QuickLinks.aspx Helpful Links Accessibility Site Map Copyright Notices Contact Us Privacy Policy Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",staff_directory,https://ashfordtownhall.org/292/Departments,0.9400000000000001,0,1
ctc_3ed6312936bdff0c4b68,ct_ashford,person,Land Use Administrator,Michael D'Amato Land Use Administrator Email Michael D'Amato More Information,Land Use,planning_zoning,Planning,Planning & Zoning,zeo@ashfordct.gov,direct,,,5 Town Hall Road,"Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays",department_page,https://ashfordtownhall.org/281/Planning-Zoning-Commission,1.0,0,1
ctc_cf926b054c5bb6b26af4,ct_ashford,role,,Zoning Enforcement Officer,Planner,planning_zoning,Planning,Planning & Zoning,mdamato@ashfordct.gov,direct,8604874404,,"5 Town Hall Road Ashford, CT 06278 Phone: 860-487-4400 Hours: Monday, Tuesday, Friday: 8:30 am t","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search About Us Government Services Community How Do I... Home Government Departments Land Use Planning & Zoning Planning & Zoning Department Based on the Regulations adopted by the Ashford Planning and Zoning Commission, various projects require approval from both the Building Department and the Zoning Department. While some projects must be approved by the Planning and Zoning Commission, others, such as sheds, decks, pools, garages, small additions, and new houses can be approved administratively by the Town's Zoning Officer. In addition to issuing Administrative Zoning Permits, the Town's ZEO is also available to provide feedback and answer questions related to the use or future use of properties in Ashford and, when necessary, enforce the Zoning Regulations. Contact Us Michael D’Amato Zoning Enforcement Officer Phone: 860 - 487 - 4404 Planning & Zoning Email Planning and Zoning Phone: 860 - 487 - 4404 Directory Planning Documents Ashford Affordable Housing Plan Forms Zoning Regulations Subdivision Regulations Agendas & Minutes Applications & Forms Documents & Codes Contact Us View or Pay Taxes Contact Ashford Town Office Building 5 Town Hall Road Ashford, CT 06278 Phone: 860 - 487 - 4400 Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays Quick Links OnBoardGOV Property Record Cards PermitLink GIS Mapping /QuickLinks.aspx Helpful Links Accessibility Site Map Copyright Notices Contact Us Privacy Policy Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",department_page,https://ashfordtownhall.org/308/Planning-Zoning,1.0,0,1
ctc_9a0d83397c0e9f205355,ct_ashford,role,,Tax Collector,Tax Collector,tax_collector,Daniel J Beltran (CCMC) Tax Collector Email Daniel Beltran Phone: More Information,Tax Collector,dbeltran@ashfordct.gov,direct,8604874411,,"5 Town Hall Road Ashford, CT 06278 Phone: 860-487-4400 Hours: Monday, Tuesday, Friday: 8:30 am t","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search About Us Government Services Community How Do I... Home Government Departments Tax Collector Tax Collector The Tax Collector's Office is responsible for collecting the municipal taxes on real estate, personal property, and motor vehicles in order to provide revenue for the programs deemed necessary and/or desirable to operate the Town. These taxes become due and payable on July 1 and January 1. Interest is calculated and collected on all accounts past due after August 1 and February 2. Liens are filed on all unpaid current real estate taxes in the spring. The Tax Collector's Office Will Close Early On Tuesday, April 21st at 2 PM For A County Meeting and Be Closed Tuesday, May 5th For Professional Development and Monday, May 25th In Observation Of Memorial Day. Important Notice - Demand & Intent to Lien Mailings Demand/Intent to Lien notices for Real Estate, as well as Demand Notices for Motor Vehicle and Personal Property taxes, will be mailed by the end of the day on February 27, 2026. Please make your payment by March 31, 2026 to avoid additional enforcement actions: Real Estate accounts will be liened in the Land Records, which includes a $24 lien fee. Personal Property and Motor Vehicle accounts will be referred to a collection agency, which adds an additional 15% fee. If you have any questions or need assistance, please contact the Tax Collector’s Office. Thank you for your prompt attention. - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Contact Us Contact Us Daniel J Beltran (CCMC) Tax Collector Email Daniel Beltran Phone: 860 - 487 - 4411 More Information Tax Collector’s Office Email Tax Collector’s Office Mailing Address P. O. Box 173 Ashford, CT 06278 Office Hours Monday, Tuesday and Friday 8:30 am to 3 pm Wednesday 10 am to 6 pm Thursday Closed Directory Options for Paying Taxes Legal Notices Tax Sales Motor Vehicle Information Messages and Information from the Tax Collector Tax Bills How to Pay Taxes Online IRS Tax Lookup Agendas & Minutes Applications & Forms Documents & Codes Contact Us View or Pay Taxes Contact Ashford Town Office Building 5 Town Hall Road Ashford, CT 06278 Phone: 860 - 487 - 4400 Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays Quick Links OnBoardGOV Property Record Cards PermitLink GIS Mapping /QuickLinks.aspx Helpful Links Accessibility Site Map Copyright Notices Contact Us Privacy Policy Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",department_page,https://ashfordtownhall.org/316/Tax-Collector,1.0,0,1
ctc_d98545095730c538d73d,ct_ashford,role,,Town Clerk,Town Clerk,town_clerk,"Karen M. Zulick (CCTC, CMC) Assistant Town Clerk Email Karen M. Zulick More Information",Town Clerk,kzulick@ashfordct.gov,direct,8604874401,,"5 Town Hall Road Ashford, CT 06278 5 Town Hall Road Ashford CT 06278 Directions Phone: 860-487-","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Search About Us Government Services Community How Do I... Home Government Departments Town Clerk Town Clerk The office of the Town Clerk's office is responsible for the maintenance and safekeeping of the records for the Town of Ashford. Housed in the fire - proof vault or in the office of the Town Clerk are all land records, Town Meeting minutes, Town Ordinances, birth/marriage/civil union/death records, land surveys, foreclosure registration election records, trade names, liquor permits, contracts, town reports, veterans discharge filings, Town board/commission/agency agendas and minutes, listings of Notaries Public, Justices of the Peace, election records, and other historical documents. In addition, the Town Clerk's Office is the place to go for absentee ballots, copies of vital records, dog licenses, marriage licenses, voter registration forms, and more. Contact Us Sherri L. Mutch (MCTC, MMC) Town Clerk Email Sherri L. Mutch Karen M. Zulick (CCTC, CMC) Assistant Town Clerk Email Karen M. Zulick More Information Town Clerk’s Office Email Town Clerk’s Office Physical Address View Map 5 Town Hall Road Ashford, CT 06278 5 Town Hall Road Ashford CT 06278 Directions Phone: 860 - 487 - 4401 Opening Hours Monday 8:30 a.m. to 3 p.m. Tuesday 8:30 a.m. to 3 p.m. Wednesday 10 a.m. to 6 p.m. Thursday Closed Friday 8:30 a.m. to 3 p.m. Saturday Closed Sunday Closed Directory Town Meetings Agendas and Minutes Legal Notices Fee Schedule Code - Town Ordinances Dog Licensing Elections Voter Registration Election Results Absentee Ballots Land Records Title Searches Recordings Fraud Alert Sporting Licenses Trade Names Vital Records Birth Marriage Death Veterans Discharge Papers Unlawful Restrictive Covenants Permits Peddlers Permit Burial/Cremation/Removal Permit Liquor Permit Contracts Notary Public Justice of the Peace Change of Name Agendas & Minutes Applications & Forms Documents & Codes Contact Us View or Pay Taxes Contact Ashford Town Office Building 5 Town Hall Road Ashford, CT 06278 Phone: 860 - 487 - 4400 Hours: Monday, Tuesday, Friday: 8:30 am to 3 pm Wednesday: 10 am to 6 pm Closed on Thursdays Quick Links OnBoardGOV Property Record Cards PermitLink GIS Mapping /QuickLinks.aspx Helpful Links Accessibility Site Map Copyright Notices Contact Us Privacy Policy Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",department_page,https://ashfordtownhall.org/317/Town-Clerk,1.0,0,1
ctc_d9ecb37650e857e00ca9,ct_beacon_falls,person,Beacon Falls,,Assessor,assessor,Assessor,Assessor,,unknown,2037294340,,10 Maple Avenue,,department_page,https://www.beaconfalls-ct.org/234/Contact-Request-Form---Assessors-Office,1.0,0,1
ctc_fce6220ce48e2ed0f6a6,ct_beacon_falls,person,Building Inspector,,Building Official,building,Building Inspector,Building,,unknown,2037294216,,10 Maple Avenue,Hours of Operation,staff_directory,https://www.beaconfalls-ct.org/200/Phone-Directory,1.0,0,1
