contact_id,municipality_id,entity_type,name,title,role_normalized,role_family,department,department_normalized,email,email_type,phone,phone_ext,address,hours,page_type,source_url,display_confidence,is_likely_noise,rn
ctc_d5eb2e7e130e994e7226,ct_bridgewater,role,,Assessor 860-355-9379,Assessor,assessor,Assessor,Assessor,,unknown,8603559379,,44 Main Street South,,staff_directory,https://www.bridgewater-ct.gov/Directory.aspx,1.0,0,1
ctc_f90bf454b994cd1bbeaf,ct_bridgewater,person,is available,The Building Official is available,Building Official,building,Building Official,Building,,unknown,8603554467,,44 Main Street South,Hours of Operation,department_page,https://www.bridgewater-ct.gov/1200/Building-Department,1.0,0,1
ctc_aa64021585a9949bad61,ct_bridgewater,role,,First Selectman,First Selectman,chief_executive,,,awagner@bridgewater-ct.gov,direct,8603545250,,"44 Main Street South Bridgewater, CT 06752 44 Main Street South Bridgewater CT 06752 Directions","Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Departments Boards & Commissions Community About Bridgewater Find It Fast Search Informational Documents Inclement Weather Policy Forms FY21/22 Budget (PDF) FY 2023 - 2024 Budget FY 2024 - 2025 Budget FY 2025 - 2026 Budget (current) Legal Notices 2026 Legal Notices 2025 Legal Notices 2024 Legal Notices 2023 Legal Notices 2022 Legal Notices Assessor's Office: Personal Property Notice 2022 Preliminary Voter Registration List 2021 Legal Notices Notice of Public Hearing May 6 2021 2020 Legal Notices Board of Assessment Appeals: Notice 2019 Legal Notices Notice of Taxes Due 2018 Legal Notices Permit Information: Burning / Driveway Subscribe to News Western CT Council of Governments Home Departments First Selectman's Office First Selectman's Office Board of Selectmen Mission Statement The First Selectman, the town's Chief Executive Officer, is a salaried official elected specifically to that position. The First Selectman oversees the day - to - day operation of town government, ensures the care and maintenance of town property subject to the care of the Selectmen, presides over all Board of Selectmen meetings, and serves as an ex - officio member of all other town boards, commissions, and agencies (but without the power to vote). Board of Selectmen Meetings The regular meetings of the Board of Selectmen are on the second Tuesday of the month at 7 pm at Town Hall. The Board of Selectmen oversees the day - to - day operation of town government. Its members are elected to a term of four years. Contact Us Eric Gsell First Selectman email Eric Gsell More Information Carolan Dwyer Selectman email Carolan Dwyer More Information Eric Soetbeer Selectman email Eric Soetbeer More Information Anne Marie Wagner Assistant to First Selectman Email Anne Marie Wagner More Information First Selectman's Office Physical Address View Map 44 Main St. South Bridgewater, CT 06752 44 Main St. South Bridgewater CT 06752 Directions Mailing Address PO Box 216 Bridgewater, CT 06752 Phone: 860 - 354 - 5250 Fax: 860 - 350 - 5944 Hours of Operation: Office: 8:30 am to 12:30 pm Monday through Friday Meetings—When: 2nd Tuesday of the Month Meetings—Where: Town Hall Meetings—Time: 7 pm Assistant Phone: 860 - 354 - 2731 Directory Agendas & Minutes Subscribe to E - Alerts Ordinances Property & Taxes Library Forms Town of Bridgewater Town Hall 44 Main Street South Bridgewater, CT 06752 Home Site Map Accessibility Copyright Notices Privacy Policy Website Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",other,https://www.bridgewater-ct.gov/1203/First-Selectmans-Office,1.0,0,1
ctc_1b18b679dfaeaf4b9630,ct_bridgewater,person,Lake Lillinonah Authority,Planning & Zoning Commission,Planner,planning_zoning,Lake Lillinonah Authority Land Use Department Planning & Zoning Commission,Planning & Zoning,,unknown,8603542832,,44 Main Street South,,staff_directory,https://www.bridgewater-ct.gov/Directory.aspx,1.0,0,1
ctc_0a2bcfc32b043733c68d,ct_bridgewater,role,,Tax Collector,Tax Collector,tax_collector,Tax Collector,Tax Collector,,unknown,8603559220,,"44 Main Street S Bridgewater, CT 06752 Mailing Address PO Box 171 Bridgewater, CT 06752 Phon","Office Hour Alert Tax Collector's Office CLOSED April 14th Read On... Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Departments Boards & Commissions Community About Bridgewater Find It Fast Search Bank Executions / Levys: Q & A Collection Procedures & Enforcement DMV Release Frequently Asked Questions Legal Notices Mill Rate & History Online Tax Bill Lookup & Payments Payment Instructions Subscribe to Tax Alerts Tax Due Dates Tax Sales Treasurer Home Departments Tax Collector Tax Collector Mission Statement The Tax Collector's office is responsible for the collection of property taxes, including business and personal property taxes, motor vehicle taxes, and real estate taxes. The office operates under the authority of the Connecticut General Statutes and the Ordinances of the Town of Bridgewater. Contact Us Catherine B. Vikstrom, CCMC Tax Collector Lynn Kubisek Assistant Tax Collector Physical Address 44 Main St S Bridgewater, CT 06752 Mailing Address PO Box 171 Bridgewater, CT 06752 Phone: 860 - 355 - 9220 Fax: 860 - 350 - 2815 Hours Monday, 8 am to 12:30 pm Tuesday, 8 am to 3:30 pm Wednesday, 8 am to 12:30 pm Thursday, 8 am to 12:30 pm Friday, 8 am to 12:30 pm FAQs How is the tax rate established? What do I own that is subject to taxes? When are taxes due and what time frame does it cover? What is the best way to pay my tax bill? What if I can't pay my taxes? Can I pay all my taxes with one check? What happens if I pay late? What if I never received a tax bill? Can the interest on my tax bill be waived? I believe I am being improperly billed for a motor vehicle. What should I do? I recently replaced a vehicle and still received a tax bill on the old vehicle. Do I have to pay it? I need to register my car. What do I do? What is a supplemental motor vehicle tax bill? I have moved. What is my tax jurisdiction for motor vehicle tax? I received my real estate tax bill and it should be paid by my mortgage company. What should I do? I pay my real estate taxes. The bill was not included in my envelope with my motor vehicle or personal property taxes. What should I do? I recently bought (or sold) real estate in Bridgewater and I have a question about what I owe. What should I do? View All FAQs /FAQ.aspx Agendas & Minutes Subscribe to E - Alerts Ordinances Property & Taxes Library Forms Town of Bridgewater Town Hall 44 Main Street South Bridgewater, CT 06752 Home Site Map Accessibility Copyright Notices Privacy Policy Website Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",department_page,https://www.bridgewater-ct.gov/1213/Tax-Collector,1.0,0,1
ctc_25b06ad1aa7656a53a8b,ct_bridgewater,role,,Town Clerk,Town Clerk,town_clerk,Town Clerk,Town Clerk,,unknown,8603545102,,06752 PO Box 216 Bridgewater CT 06752 Directions Phone: 860-354-5102 Fax: 860-350-2815 Hours TEMPORARILY CLOSED,"Office Hours Alert Town Clerk's Office closed on Fridays Read On... Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Departments Boards & Commissions Community About Bridgewater Find It Fast Search Absentee Ballot Information Code of Ordinances Fees Forms Legal Notices Marriage License Worksheet Notary Public Service Online Sportsman Licensing System RECORDhub Voter Registration Home Departments Town Clerk Town Clerk Appointments Required for Marriage Licenses Mission Statement The duties and responsibilities of the Town Clerk's Office are governed by State Statute, Town Charter, and the Board of Selectmen. The State Statute governs the duties and responsibilities of the Office of Vital Statistics. Responsibilities and duties of the Town Clerk's office include (but are not limited to) the following: Recording documents related to real estate transactions. Collection of conveyance taxes. Filing and maintaining maps, trade names, military discharges, and Notary Public Certificates. Posting notices of meetings and filing minutes and notices received from various Boards and Commissions, as required by the Freedom of Information Laws. Preparation of all election materials. Registration of voters. Issuance of marriage licenses, burial, cremation, and transit permits, and certified copies of birth, death, marriage, and civil union licenses. Annual registration of dogs. All Town Meeting Minutes are on file in the Town Clerk's Office. The Town Clerk also serves as the accepting agent for civil actions brought against the Town and is responsible for processing claims and suits and submitting them to the Town Attorney, Selectmen, insurance carrier, and the department involved. Staff Nicole Tenreiro, Assistant Contact Us Cheryl L. Pinkos Town Clerk Town Clerk Physical Address View Map PO Box 216 Bridgewater, CT 06752 PO Box 216 Bridgewater CT 06752 Directions Phone: 860 - 354 - 5102 Fax: 860 - 350 - 2815 Hours TEMPORARILY CLOSED ON FRIDAYS Monday: 8 am to 12:30 pm Tuesday: 8 am to 12:00 pm Wednesday: 8 am to 12:30 pm Thursday: 8 am to 12:30 pm Directory Agendas & Minutes Subscribe to E - Alerts Ordinances Property & Taxes Library Forms Town of Bridgewater Town Hall 44 Main Street South Bridgewater, CT 06752 Home Site Map Accessibility Copyright Notices Privacy Policy Website Disclaimer /QuickLinks.aspx Government Websites by CivicPlus®",department_page,https://www.bridgewater-ct.gov/1214/Town-Clerk,1.0,0,1
ctc_eec95815059f6620577a,ct_bridgewater,role,,Treasurer 860-354-2683,Treasurer,finance,Treasurer,Finance,,unknown,8603542683,,44 Main Street South,,staff_directory,https://www.bridgewater-ct.gov/Directory.aspx,1.0,0,1
ctc_c61ccce883a77bb73136,ct_franklin,role,,assessor,Assessor,assessor,"If you are being taxed on property you no longer own, please contact the assessor’s office at",Assessor,,unknown,8606427352,1,"7 Meetinghouse Hill Road, Franklin, CT 06254 Please enclose a self-addressed, stamped envelope if you w","You are here Home ›› Departments Tax Collector The Tax Collector is responsible for the collection of property taxes for the Town of Franklin. By mail. Please send your tax payments to: Tax Collector, Town of Franklin, 7 Meetinghouse Hill Road, Franklin, CT 06254. Please enclose a self - addressed, stamped envelope if you would like a receipt mailed back to you. By use of our drop box located outside of Town Hall, available at all times of the day. This is located at 7 Meetinghouse Hill Road, Franklin, CT. By using the online bill pay system (mytaxbill.net/franklin). *Please note there is a 2.95% convenience fee that is charged by the credit card operating system. For those of you who are over the age of 65 and are not comfortable coming to the office, please contact me at 860 - 642 - 7206 Ext. 4 to schedule an appointment. Failure to receive a tax bill does not negate the tax or interest due, per State Statute 12 - 130. If you do not receive a tax bill, please contact the Tax Collector’s Office. What if you are being taxed on property you may no longer own? If you are being taxed on property you no longer own, please contact the assessor’s office at 860 - 642 - 7352 Ext. 1. Staff Contacts Name Kelsey Allard Tax Collecter 11 - 18 - 25 to 11 - 16 - 27 Online Tax Payments Tax Collector's Notice - Release to Department Motor Vehicles Tax Collectors January 2026 Legal Notice Contact Info Hours of Operation: Tuesday 5:00pm to 8:00pm or *BY APPOINTMENT"" Phone: (860) 642 - 8609 Address: Franklin Town Hall 7 Meetinghouse Hill Rd. Franklin, CT 06254 United States See map: Google Maps News Town Clerk Office will be CLOSED Thursday April 16th 2026 AUDIT REPORT FY 2023 - 2024 Election 2025 Winners NEW link for Town of Franklin GIS Maps 2025 - 26 Final Approved Board of Selectmen Budget View all",department_page,https://www.franklinct.gov/tax-collector,1.0,0,1
ctc_712cacbccfa70548d5e8,ct_franklin,role,,Building Official,Building Official,building,Building Official,Building,,unknown,8606427352,,"7 Meetinghouse Hill Road Franklin, CT 06254 United States See map: Google Maps",By Phone & Email: Monday - Friday 9 to 5 Office Hours: Tuesday 6:00pm - 7:30pm,department_page,https://www.franklinct.gov/building-department,1.0,0,1
ctc_2b7739f2d83f60190a07,ct_franklin,role,,First Selectman,First Selectman,chief_executive,Tax Collector,Tax Collector,,unknown,8606427206,4,"7 Meetinghouse Hill Road, Franklin, CT 06254 Please enclose a self-addressed, stamped envelope if you w","Home Keywords Home About Our Town / History Departments A - P Assessors 2023 Revaluation General Information 2025 DECLARATION PERSONAL PROPERTY (short form) 2025 DECLARATION PERSONAL PROPERTY MOTOR VEHICLE (form) Attention FARMLAND OWNERS** Board of Assessment Appeals GIS Mapping System Motor Vehicle Assessment Motor Vehicle Proof Required for Correction (form) October 1, 2023 Town Wide Revaluation PA490 CONVEYANCE TAX NOTICE Personal Property Assessment Programs Property Record Cards Real Estate Assessment Building Office / Wetlands Enforcement Office Building Permit Application Form Building Permit Fee Calculator Electical Permit Form Fire Alarm Permit Form Mechanical Permit Form Plumbing Permit Solar Permit Form Director of Social Services / Municipal Agent for the Elderly Emergency Management Related Links Fire Marshal HEATING FIRE SAFETY Holiday Fire Safety Tips with Santa Winter Holiday Fire Safety Tips and Beyond - - - > First Selectman Franklin Volunteer Fire Dept. Application Membership Explorer Cadet FIRE DEPARTMENT - HISTORY Fire Department Address Tag Hall Rental Agreement (2025) Holiday Fire Safety Tips with Santa Membership Application Winter Holiday Fire Safety Tips and Beyond - - - > Health District Janet Carlson Calvert Library ** JUNE 2022 HAPPENINGS ** FRANKLIN HISTORY ROOM (COVID - 19 ) Land Use Office Planning & Zoning Enforcement Office Public Works Take 2 Recycling - Secure Electronics Recycling Services Willimantic Waste - Recycle/Municipal Solid Waste Pick - up Regional Animal Control District Northeast Council of Governments Animal Control (Animal Services) Q - Z Registrars of Voters Absentee Ballot Register to Vote In Person Register to Vote Online Voter Registration Lookup & Important Information Senior Center Recommended Links Tax Collector Online Tax Payments Tax Collector's Notice - Release to Department Motor Vehicles Tax Collectors January 2026 Legal Notice Town Clerk Public Records Search Town Historian Town Planner Transfer Station Accepted at the Transfer Station Hazardous Waste Collection Information Schedule of Fees Recycling Center & Transfer Station Treasurer Tree Warden Boards & Commissions A - I Agriculture & Conservation Commission AGCON FARM BUSINESS DIRECTORY SUBMISSION FORM (DEC 31, 2022) AGCON FARMS BUSINESS LISTING AS OF (5.28.22) Check out these Websites of Interest: Ex: CT FARM BUREAU DEPT OF AG..... America 250 Committee Ashbel Woodward Museum's Board of Directors Ashbel Woodward Museum Website Board of Assessment Appeals Assessors Department LEGAL NOTICE ASSESSMENT APPEALS SEP 2024 PRESS RELEASE ASSESSMENT APPEALS IN SESSION (2024) Board of Education Board of Finance AUDIT Fiscal Year 21 - 22 AUDIT Fiscal Year 22 - 23 BOE Budget Approved to Town Meeting FY 24 - 25 BOS Budget Approved to Town Meeting FY 24 - 25 Board of Selectmen Ordinances Commission on Aging Commission on Aging 2025 Meeting Dates Economic Development Commission Inland Wetlands and Watercourses Commission APPLICATION FEE SCHEDULE - ORDINANCE Farm Pond Notification Form IWWC Permit Application Inland Wetlands and Watercourses Regulations 7.2.2024 Timber Harvest Notification Form J - Z Janet Carlson Calvert Library's Board of Trustees Legal Traffic Authority Memorial Day Committee Planning and Zoning Commission 2023 Plan of Conservation & Development Amendment as Adopted (1.26.26) APPLICATION FEE SCHEDULE - ORDINANCE BOND SUBMITTAL & ACKNOWLEDGEMENT FORM GIS Mapping System Planning & Zoning Application (JAN 2025) Planning & Zoning Regulations (1.20.26) Planning & Zoning Sub - Division Application Planning & Zoning Sub - Division Regulations Pre - Application Review Request Form Zoning Map (9.1.21) Zoning Permit Application (3.18.26) Recreation Commission Representatives to the Eastern Connecticut Regional Tourism District Representatives to the Norwich Area Cable Television Advisory Council Representatives to the Southeastern Connecticut Water Authority Town Meetings Water Pollution Control Authority Zoning Board of Appeals APPLICATION FEE SCHDULE - ORDINANCE Zoning Board of Appeals Application Subscribe Public Records Search You are here Home ›› Departments Tax Collector The Tax Collector is responsible for the collection of property taxes for the Town of Franklin. By mail. Please send your tax payments to: Tax Collector, Town of Franklin, 7 Meetinghouse Hill Road, Franklin, CT 06254. Please enclose a self - addressed, stamped envelope if you would like a receipt mailed back to you. By use of our drop box located outside of Town Hall, available at all times of the day. This is located at 7 Meetinghouse Hill Road, Franklin, CT. By using the online bill pay system (mytaxbill.net/franklin). *Please note there is a 2.95% convenience fee that is charged by the credit card operating system. For those of you who are over the age of 65 and are not comfortable coming to the office, please contact me at 860 - 642 - 7206 Ext. 4 to schedule an appointment. Failure to receive a tax bill does not negate the tax or interest due, per State Statute 12 - 130. If you do not receive a tax bill, please contact the Tax Collector’s Office. What if you are being taxed on property you may no longer own? If you are being taxed on property you no longer own, please contact the assessor’s office at 860 - 642 - 7352 Ext. 1. Staff Contacts Name Kelsey Allard Tax Collecter 11 - 18 - 25 to 11 - 16 - 27 Online Tax Payments Tax Collector's Notice - Release to Department Motor Vehicles Tax Collectors January 2026 Legal Notice Contact Info Hours of Operation: Tuesday 5:00pm to 8:00pm or *BY APPOINTMENT"" Phone: (860) 642 - 8609 Address: Franklin Town Hall 7 Meetinghouse Hill Rd. Franklin, CT 06254 United States See map: Google Maps News Town Clerk Office will be CLOSED Thursday April 16th 2026 AUDIT REPORT FY 2023 - 2024 Election 2025 Winners NEW link for Town of Franklin GIS Maps 2025 - 26 Final Approved Board of Selectmen Budget View all Town of Franklin, 7 Meetinghouse Hill Road, Franklin CT 06254 (860) 642 - 7352 Website Disclaimer | Government Websites by CivicPlus ® Login",department_page,https://www.franklinct.gov/tax-collector,1.0,0,1
